model_name,class_set,cutoff,confidence_threshold,accuracy,true positive,true negative,false postivie,false negative,precision,recall,f1_score
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.1,0.9300699300699301,98,35,5,5,0.9514563106796117,0.9514563106796117,0.9514563106796117
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.15,0.9300699300699301,98,35,5,5,0.9514563106796117,0.9514563106796117,0.9514563106796117
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.2,0.9370629370629371,98,36,4,5,0.9607843137254902,0.9514563106796117,0.9560975609756097
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.25,0.9300699300699301,96,37,3,7,0.9696969696969697,0.9320388349514563,0.9504950495049505
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.3,0.9300699300699301,95,38,2,8,0.979381443298969,0.9223300970873787,0.95
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.35,0.9230769230769231,94,38,2,9,0.9791666666666666,0.912621359223301,0.9447236180904524
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.4,0.9020979020979021,91,38,2,12,0.978494623655914,0.883495145631068,0.9285714285714286
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.45,0.8881118881118881,89,38,2,14,0.978021978021978,0.8640776699029126,0.9175257731958761
yolov8m-worldv2.pt,"['cat', 'dog', 'domestic cat', 'domestic dog', 'sphynx cat', 'bombay cat', 'birman cat', 'tiger', 'big tiger', 'fox', 'wolf', 'coyote', 'drawing', 'painting']",tiger,0.5,0.8671328671328671,85,39,1,18,0.9883720930232558,0.8252427184466019,0.8994708994708994
yolov8m-worldv2.pt,"['cat', 'dog']",,0.05,0.951048951048951,101,35,5,2,0.9528301886792453,0.9805825242718447,0.9665071770334929
yolov8m-worldv2.pt,"['cat', 'dog']",,0.1,0.9440559440559441,100,35,5,3,0.9523809523809523,0.970873786407767,0.9615384615384616
yolov8m-worldv2.pt,"['cat', 'dog']",,0.15,0.9370629370629371,99,35,5,4,0.9519230769230769,0.9611650485436893,0.9565217391304348
yolov8m-worldv2.pt,"['cat', 'dog']",,0.2,0.9370629370629371,99,35,5,4,0.9519230769230769,0.9611650485436893,0.9565217391304348
yolov8m-worldv2.pt,"['cat', 'dog']",,0.25,0.9370629370629371,99,35,5,4,0.9519230769230769,0.9611650485436893,0.9565217391304348
yolov8m-worldv2.pt,"['cat', 'dog']",,0.3,0.9370629370629371,99,35,5,4,0.9519230769230769,0.9611650485436893,0.9565217391304348
yolov8m-worldv2.pt,"['cat', 'dog']",,0.35,0.9370629370629371,98,36,4,5,0.9607843137254902,0.9514563106796117,0.9560975609756097
yolov8m-worldv2.pt,"['cat', 'dog']",,0.4,0.9440559440559441,98,37,3,5,0.9702970297029703,0.9514563106796117,0.9607843137254902
yolov8m-worldv2.pt,"['cat', 'dog']",,0.45,0.9440559440559441,98,37,3,5,0.9702970297029703,0.9514563106796117,0.9607843137254902
